Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jaisinagar,03/12/2019,4.7,Desi (F.A.Q. Split),3700,3800,3750,
,04/12/2019,5,Desi (F.A.Q. Split),3600,3800,3700,
,05/12/2019,1.2,Desi (F.A.Q. Split),3600,3800,3700,
,06/12/2019,29.5,Desi (F.A.Q. Split),3550,3680,3650,
,07/12/2019,2.1,Desi (F.A.Q. Split),3750,3865,3800,
,09/12/2019,0.6,Desi (F.A.Q. Split),3605,3865,3725,
,10/12/2019,0.1,Desi (F.A.Q. Split),3550,3550,3550,
,11/12/2019,0.5,Desi (F.A.Q. Split),3680,3875,3710,
,23/12/2019,39.6,Desi (F.A.Q. Split),3800,3910,3850,
,24/12/2019,46.8,Desi (F.A.Q. Split),3950,4100,4050,
,26/12/2019,3.2,Desi (F.A.Q. Split),3780,3900,3800,
,27/12/2019,32.4,Desi (F.A.Q. Split),3950,4250,4100,
,30/12/2019,27.3,Desi (F.A.Q. Split),3850,4015,3950,
,31/12/2019,1.5,Desi (F.A.Q. Split),4125,4125,4125,
Mahidpur,02/12/2019,59.48, ,NR,NR,NR,
,03/12/2019,68.66, ,NR,NR,NR,
,04/12/2019,32.59,Bengal Gram Dal,4450,4900,4500,
,,,Desi (F.A.Q. Split),3375,3850,3675,
,05/12/2019,46.11,Bengal Gram Dal,4005,5005,4900,
,,,Desi (F.A.Q. Split),3310,3700,3625,
,06/12/2019,196.59,Bengal Gram Dal,4040,5000,4800,
,,,Desi (F.A.Q. Split),3210,3839,3625,
,07/12/2019,17.16,Desi (F.A.Q. Split),3500,3792,3600,
,09/12/2019,4.17,Bengal Gram Dal,4225,4570,4350,
,13/12/2019,32.65,Desi (F.A.Q. Split),3100,3738,3615,
,16/12/2019,14.36,Bengal Gram Dal,4700,5400,4900,
,,,Desi (F.A.Q. Split),3419,3970,3515,
,17/12/2019,5.16,Bengal Gram Dal,4700,5585,4915,
,,,Desi (F.A.Q. Split),3495,3790,3625,
,18/12/2019,16.79,Bengal Gram Dal,4540,4710,4600,
,,,Desi (F.A.Q. Split),3606,3885,3675,
,19/12/2019,155.21,Bengal Gram Dal,3300,3855,3450,
,,,Desi (F.A.Q. Split),3340,3910,3825,
,21/12/2019,26.97,Bengal Gram Dal,4800,5205,5000,
,,,Desi (F.A.Q. Split),3150,3705,3530,
,23/12/2019,107.84,Bengal Gram Dal,5300,5300,5300,
,,,Desi (F.A.Q. Split),3450,3700,3650,
,24/12/2019,213.73,Desi (F.A.Q. Split),3120,3685,3450,
,26/12/2019,37.72,Desi (F.A.Q. Split),3325,3560,3450,
,27/12/2019,6.2,Bengal Gram Dal,4235,5305,5100,
,,,Desi (F.A.Q. Split),3470,3635,3545,
,30/12/2019,22.62,Bengal Gram Dal,4010,5052,4915,
,,,Desi (F.A.Q. Split),3700,3965,3815,
,31/12/2019,15.57,Bengal Gram Dal,5305,5726,5425,
,,,Desi (F.A.Q. Split),3390,3851,3650,
Mandla,01/12/2019,0.05,Bengal Gram (Split),4101,4101,4101,
,02/12/2019,0.05,Bengal Gram (Split),3700,3700,3700,
,03/12/2019,5.1,Bengal Gram (Split),3800,3800,3800,
,04/12/2019,0.05,Bengal Gram (Split),3853,3853,3853,
,08/12/2019,4.8,Bengal Gram (Split),3760,3775,3760,
,09/12/2019,2.88,Bengal Gram (Split),3800,3800,3800,
,10/12/2019,14.64,Bengal Gram (Split),3720,3775,3750,
,16/12/2019,12.25,Bengal Gram (Split),3650,3700,3670,
,17/12/2019,4.9,Bengal Gram (Split),3700,3700,3700,
,18/12/2019,2.45,Bengal Gram (Split),3700,3700,3700,
,19/12/2019,3.92,Bengal Gram (Split),3700,3700,3700,
,23/12/2019,4.32,Bengal Gram (Split),3800,3800,3800,
,26/12/2019,5.76,Bengal Gram (Split),4050,4100,4050,
,28/12/2019,2.45,Bengal Gram (Split),4018,4018,4018,
,30/12/2019,2.4,Bengal Gram (Split),3850,3850,3850,
Mandsaur,02/12/2019,60,Bengal Gram (Split),3200,3953,3580,
,03/12/2019,70,Bengal Gram (Split),3500,4000,3750,
,04/12/2019,60,Bengal Gram (Split),3501,4000,3745,
,05/12/2019,45,Bengal Gram (Split),3450,3951,3700,
,06/12/2019,50,Bengal Gram (Split),3400,4021,3710,
,07/12/2019,35,Bengal Gram (Split),3600,4020,3810,
,09/12/2019,40, ,NR,NR,NR,
,10/12/2019,40,Bengal Gram (Split),3211,3980,3590,
,11/12/2019,40,Bengal Gram (Split),3381,4011,3700,
,12/12/2019,35,Bengal Gram (Split),3260,4036,3640,
,13/12/2019,30,Bengal Gram (Split),3600,4141,3860,
,16/12/2019,60,Bengal Gram (Split),3500,4420,3960,
,17/12/2019,25,Bengal Gram (Split),3420,4051,3730,
,18/12/2019,50,Bengal Gram (Split),3501,4180,3840,
,19/12/2019,30,Bengal Gram (Split),3401,4120,3770,
,23/12/2019,40,Bengal Gram (Split),3662,4120,3870,
,24/12/2019,15,Bengal Gram (Split),3440,4060,3770,
,26/12/2019,30,Bengal Gram (Split),3640,4140,3890,
,27/12/2019,35,Bengal Gram (Split),3500,4121,3810,
,30/12/2019,30,Bengal Gram (Split),3650,4140,3890,
,31/12/2019,30,Bengal Gram (Split),3600,4120,3850,
Ujjain,02/12/2019,48.5,Bengal Gram (Split),2500,4011,3760,
,03/12/2019,46.6,Bengal Gram (Split),3200,4191,3682,
,04/12/2019,49.4,Bengal Gram (Split),3260,4252,3870,
,05/12/2019,42.7,Bengal Gram (Split),3272,4232,4040,
,06/12/2019,33.4,Desi (F.A.Q. Split),2251,4181,4026,
,07/12/2019,45.8,Bengal Gram (Split),3280,4211,4141,
,09/12/2019,32.3,Bengal Gram (Split),3228,4086,4015,
,10/12/2019,42.4,Bengal Gram (Split),3500,4070,3881,
,11/12/2019,40.2,Bengal Gram (Split),3101,4265,4041,
,,,Desi (F.A.Q. Split),3500,3970,3970,
,12/12/2019,38.5,Bengal Gram (Split),3620,4205,4036,
,13/12/2019,25.7,Bengal Gram (Split),3130,4127,4040,
,16/12/2019,17.4,Bengal Gram (Split),2690,4175,3976,
,17/12/2019,35.2,Bengal Gram (Split),3011,4100,3865,
,18/12/2019,48,Bengal Gram (Split),2200,4250,3901,
,19/12/2019,23.5,Bengal Gram (Split),3350,4285,3980,
,21/12/2019,19.3,Bengal Gram (Split),3070,4275,3933,
,,,Desi (F.A.Q. Split),3380,4075,3912,
,23/12/2019,30.9,Bengal Gram (Split),2900,4425,3921,
,,,Desi (F.A.Q. Split),3850,3961,3961,
,24/12/2019,28.5,Bengal Gram (Split),3251,4390,4190,
,27/12/2019,26.8,Bengal Gram (Split),2750,4390,4026,
,30/12/2019,26,Bengal Gram (Split),3200,4241,3950,
,31/12/2019,20.5,Bengal Gram (Split),3200,4322,3900,
