,0
0,"2017-11-01,AMRITSAR,60.0"
1,"2017-11-02,AMRITSAR,50.0"
2,"2017-11-03,AMRITSAR,50.0"
3,"2017-11-04,AMRITSAR,0"
4,"2017-11-05,AMRITSAR,0"
5,"2017-11-06,AMRITSAR,60.0"
6,"2017-11-07,AMRITSAR,60.0"
7,"2017-11-08,AMRITSAR,60.0"
8,"2017-11-09,AMRITSAR,60.0"
9,"2017-11-10,AMRITSAR,50.0"
10,"2017-11-11,AMRITSAR,60.0"
11,"2017-11-12,AMRITSAR,0"
12,"2017-11-13,AMRITSAR,60.0"
13,"2017-11-14,AMRITSAR,60.0"
14,"2017-11-15,AMRITSAR,60.0"
15,"2017-11-16,AMRITSAR,60.0"
16,"2017-11-17,AMRITSAR,60.0"
17,"2017-11-18,AMRITSAR,60.0"
18,"2017-11-19,AMRITSAR,0"
19,"2017-11-20,AMRITSAR,0"
20,"2017-11-21,AMRITSAR,60.0"
21,"2017-11-22,AMRITSAR,60.0"
22,"2017-11-23,AMRITSAR,60.0"
23,"2017-11-24,AMRITSAR,60.0"
24,"2017-11-25,AMRITSAR,0"
25,"2017-11-26,AMRITSAR,0"
26,"2017-11-27,AMRITSAR,60.0"
27,"2017-11-28,AMRITSAR,60.0"
28,"2017-11-29,AMRITSAR,60.0"
29,"2017-11-30,AMRITSAR,50.0"
