,0
0,"2016-06-01,AMRITSAR,10.0"
1,"2016-06-02,AMRITSAR,10.0"
2,"2016-06-03,AMRITSAR,10.0"
3,"2016-06-04,AMRITSAR,10.0"
4,"2016-06-05,AMRITSAR,0"
5,"2016-06-06,AMRITSAR,20.0"
6,"2016-06-07,AMRITSAR,20.0"
7,"2016-06-08,AMRITSAR,20.0"
8,"2016-06-09,AMRITSAR,20.0"
9,"2016-06-10,AMRITSAR,20.0"
10,"2016-06-11,AMRITSAR,20.0"
11,"2016-06-12,AMRITSAR,0"
12,"2016-06-13,AMRITSAR,20.0"
13,"2016-06-14,AMRITSAR,20.0"
14,"2016-06-15,AMRITSAR,40.0"
15,"2016-06-16,AMRITSAR,40.0"
16,"2016-06-17,AMRITSAR,40.0"
17,"2016-06-18,AMRITSAR,50.0"
18,"2016-06-19,AMRITSAR,0"
19,"2016-06-20,AMRITSAR,50.0"
20,"2016-06-21,AMRITSAR,40.0"
21,"2016-06-22,AMRITSAR,40.0"
22,"2016-06-23,AMRITSAR,40.0"
23,"2016-06-24,AMRITSAR,40.0"
24,"2016-06-25,AMRITSAR,30.0"
25,"2016-06-26,AMRITSAR,0"
26,"2016-06-27,AMRITSAR,25.0"
27,"2016-06-28,AMRITSAR,40.0"
28,"2016-06-29,AMRITSAR,40.0"
29,"2016-06-30,AMRITSAR,40.0"
