,0
0,"2020-01-01,AHMEDABAD,0"
1,"2020-01-02,AHMEDABAD,30.0"
2,"2020-01-03,AHMEDABAD,30.0"
3,"2020-01-04,AHMEDABAD,30.0"
4,"2020-01-05,AHMEDABAD,0"
5,"2020-01-06,AHMEDABAD,30.0"
6,"2020-01-07,AHMEDABAD,25.0"
7,"2020-01-08,AHMEDABAD,30.0"
8,"2020-01-09,AHMEDABAD,30.0"
9,"2020-01-10,AHMEDABAD,30.0"
10,"2020-01-11,AHMEDABAD,30.0"
11,"2020-01-12,AHMEDABAD,0"
12,"2020-01-13,AHMEDABAD,30.0"
13,"2020-01-14,AHMEDABAD,30.0"
14,"2020-01-15,AHMEDABAD,0"
15,"2020-01-16,AHMEDABAD,25.0"
16,"2020-01-17,AHMEDABAD,25.0"
17,"2020-01-18,AHMEDABAD,30.0"
18,"2020-01-19,AHMEDABAD,0"
19,"2020-01-20,AHMEDABAD,30.0"
20,"2020-01-21,AHMEDABAD,20.0"
21,"2020-01-22,AHMEDABAD,20.0"
22,"2020-01-23,AHMEDABAD,20.0"
23,"2020-01-24,AHMEDABAD,20.0"
24,"2020-01-25,AHMEDABAD,20.0"
25,"2020-01-26,AHMEDABAD,0"
26,"2020-01-27,AHMEDABAD,20.0"
27,"2020-01-28,AHMEDABAD,25.0"
28,"2020-01-29,AHMEDABAD,20.0"
29,"2020-01-30,AHMEDABAD,20.0"
30,"2020-01-31,AHMEDABAD,15.0"
