,0
0,"2016-03-01,AHMEDABAD,15.0"
1,"2016-03-02,AHMEDABAD,15.0"
2,"2016-03-03,AHMEDABAD,18.0"
3,"2016-03-04,AHMEDABAD,15.0"
4,"2016-03-05,AHMEDABAD,15.0"
5,"2016-03-06,AHMEDABAD,0"
6,"2016-03-07,AHMEDABAD,15.0"
7,"2016-03-08,AHMEDABAD,15.0"
8,"2016-03-09,AHMEDABAD,15.0"
9,"2016-03-10,AHMEDABAD,15.0"
10,"2016-03-11,AHMEDABAD,15.0"
11,"2016-03-12,AHMEDABAD,15.0"
12,"2016-03-13,AHMEDABAD,0"
13,"2016-03-14,AHMEDABAD,15.0"
14,"2016-03-15,AHMEDABAD,15.0"
15,"2016-03-16,AHMEDABAD,15.0"
16,"2016-03-17,AHMEDABAD,15.0"
17,"2016-03-18,AHMEDABAD,15.0"
18,"2016-03-19,AHMEDABAD,15.0"
19,"2016-03-20,AHMEDABAD,0"
20,"2016-03-21,AHMEDABAD,15.0"
21,"2016-03-22,AHMEDABAD,15.0"
22,"2016-03-23,AHMEDABAD,15.0"
23,"2016-03-24,AHMEDABAD,0"
24,"2016-03-25,AHMEDABAD,0"
25,"2016-03-26,AHMEDABAD,0"
26,"2016-03-27,AHMEDABAD,0"
27,"2016-03-28,AHMEDABAD,15.0"
28,"2016-03-29,AHMEDABAD,15.0"
29,"2016-03-30,AHMEDABAD,16.0"
30,"2016-03-31,AHMEDABAD,15.0"
